Jahr;Quartal;Monat;Hauptgruppen (WZ 08);Auftragseingang insgesamt (in 1000 EUR);Auftragseingang Ausland (in 1000 EUR);Auftragseingang Eurozone (in 1000 EUR);Umsatz insgesamt aus Auftragseingang (in 1000 EUR);Umsatz Ausland aus Auftragseingang (in 1000 EUR);Umsatz Eurozone aus Auftragseingang (in 1000 EUR)
2024;4. Quartal;10;GG Gebrauchsgüter;-;-;-;-;-;-
2024;4. Quartal;10;VG Verbrauchsgüter;-;-;-;-;-;-
2024;4. Quartal;10;Verarbeitendes Gewerbe gesamt;496212;322422;67920;513206;337159;75931
2024;4. Quartal;11;A+EN Vorleistungsgüter und Energie;326380;163326;11639;289152;161900;10631
2024;4. Quartal;11;B Investitionsgüter;215079;141429;22008;220803;152005;59501
2024;4. Quartal;11;GG Gebrauchsgüter;-;-;-;-;-;-
2024;4. Quartal;11;VG Verbrauchsgüter;-;-;-;-;-;-
2024;4. Quartal;11;Verarbeitendes Gewerbe gesamt;565892;321602;48086;540334;334961;87924
2024;4. Quartal;12;A+EN Vorleistungsgüter und Energie;428989;240930;50456;512943;-;-
2024;4. Quartal;12;B Investitionsgüter;170588;102274;23855;188563;126064;32631
2024;4. Quartal;12;GG Gebrauchsgüter;-;-;-;-;-;-
2024;4. Quartal;12;VG Verbrauchsgüter;-;-;-;-;-;-
2024;4. Quartal;12;Verarbeitendes Gewerbe gesamt;621220;357431;86935;724644;478507;93677
2025;1. Quartal;01;A+EN Vorleistungsgüter und Energie;326150;181489;13326;259353;160575;13987
2025;1. Quartal;01;B Investitionsgüter;173197;101127;25906;165256;87326;35629
2025;1. Quartal;01;GG Gebrauchsgüter;-;-;-;-;-;-
2025;1. Quartal;01;VG Verbrauchsgüter;-;-;-;-;-;-
2025;1. Quartal;01;Verarbeitendes Gewerbe gesamt;532153;307739;59637;459662;274673;71667
2025;1. Quartal;02;A+EN Vorleistungsgüter und Energie;313338;182108;10642;340096;-;-
2025;1. Quartal;02;B Investitionsgüter;160508;83688;37196;172444;106135;46835
2025;1. Quartal;02;GG Gebrauchsgüter;-;-;-;-;-;-
2025;1. Quartal;02;VG Verbrauchsgüter;-;-;-;-;-;-
2025;1. Quartal;02;Verarbeitendes Gewerbe gesamt;505565;289782;68852;544513;340593;83334
2025;1. Quartal;03;A+EN Vorleistungsgüter und Energie;383910;205463;44553;423925;263087;53008
2025;1. Quartal;03;B Investitionsgüter;167760;84463;23276;257309;141773;33262
2025;1. Quartal;03;GG Gebrauchsgüter;-;-;-;-;-;-
2025;1. Quartal;03;VG Verbrauchsgüter;-;-;-;-;-;-
2025;1. Quartal;03;Verarbeitendes Gewerbe gesamt;582883;312665;87791;720571;432983;108048
2025;2. Quartal;04;A+EN Vorleistungsgüter und Energie;326897;189262;17869;251717;139951;16596
2025;2. Quartal;04;B Investitionsgüter;165210;108622;47460;195517;123889;46355
2025;2. Quartal;04;GG Gebrauchsgüter;-;-;-;-;-;-
2025;2. Quartal;04;VG Verbrauchsgüter;-;-;-;-;-;-
2025;2. Quartal;04;Verarbeitendes Gewerbe gesamt;525831;324798;86711;483863;291595;87676
2025;2. Quartal;05;A+EN Vorleistungsgüter und Energie;312977;-;-;301367;-;-
2025;2. Quartal;05;B Investitionsgüter;160584;92678;26715;181577;107632;27408
2025;2. Quartal;05;GG Gebrauchsgüter;-;-;-;-;-;-
2025;2. Quartal;05;VG Verbrauchsgüter;-;-;-;-;-;-
2025;2. Quartal;05;Verarbeitendes Gewerbe gesamt;510736;273532;60714;516567;297955;63247
2025;2. Quartal;06;A+EN Vorleistungsgüter und Energie;316398;177956;14250;394158;243953;18036
2025;2. Quartal;06;B Investitionsgüter;321908;275004;45199;221333;156624;54409
2025;2. Quartal;06;GG Gebrauchsgüter;-;-;-;-;-;-
2025;2. Quartal;06;VG Verbrauchsgüter;-;-;-;-;-;-
2025;2. Quartal;06;Verarbeitendes Gewerbe gesamt;673189;479769;81024;646762;423924;93510
2025;3. Quartal;07;A+EN Vorleistungsgüter und Energie;340594;170899;13680;295203;186806;17582
2025;3. Quartal;07;B Investitionsgüter;163199;94241;19928;179642;109998;22869
2025;3. Quartal;07;GG Gebrauchsgüter;-;-;-;-;-;-
2025;3. Quartal;07;VG Verbrauchsgüter;-;-;-;-;-;-
2025;3. Quartal;07;Verarbeitendes Gewerbe gesamt;534385;288158;54281;511940;323241;62253
2025;3. Quartal;08;A+EN Vorleistungsgüter und Energie;352303;169531;10054;359501;189591;12129
2025;3. Quartal;08;B Investitionsgüter;175046;96086;20616;170074;102282;24092
2025;3. Quartal;08;GG Gebrauchsgüter;-;-;-;-;-;-
2025;3. Quartal;08;VG Verbrauchsgüter;-;-;-;-;-;-
2025;3. Quartal;08;Verarbeitendes Gewerbe gesamt;554575;285613;49070;563539;316366;57194
2025;3. Quartal;09;A+EN Vorleistungsgüter und Energie;391236;184593;17951;384943;196961;21382
2025;3. Quartal;09;B Investitionsgüter;181009;104950;39897;224952;151286;35174
2025;3. Quartal;09;GG Gebrauchsgüter;-;-;-;-;-;-
2025;3. Quartal;09;VG Verbrauchsgüter;-;-;-;-;-;-
2025;3. Quartal;09;Verarbeitendes Gewerbe gesamt;601866;312127;78993;649205;375611;80466
2025;4. Quartal;10;A+EN Vorleistungsgüter und Energie;348897;-;-;300801;-;-
2025;4. Quartal;10;B Investitionsgüter;137311;68096;23346;176105;116967;19293
2025;4. Quartal;10;GG Gebrauchsgüter;-;-;-;-;-;-
2025;4. Quartal;10;VG Verbrauchsgüter;-;-;-;-;-;-
2025;4. Quartal;10;Verarbeitendes Gewerbe gesamt;515038;271214;69946;508911;315025;67040
2025;4. Quartal;11;A+EN Vorleistungsgüter und Energie;335075;206596;17348;321652;170200;12283
2025;4. Quartal;11;B Investitionsgüter;171575;95910;34543;170656;105621;38058
2025;4. Quartal;11;GG Gebrauchsgüter;-;-;-;-;-;-
2025;4. Quartal;11;VG Verbrauchsgüter;-;-;-;-;-;-
2025;4. Quartal;11;Verarbeitendes Gewerbe gesamt;537608;321484;68153;524985;298697;68563
2025;4. Quartal;12;A+EN Vorleistungsgüter und Energie;411726;236873;32376;457973;-;-
2025;4. Quartal;12;B Investitionsgüter;239074;173800;119108;207346;117154;26613
2025;4. Quartal;12;GG Gebrauchsgüter;-;-;-;-;-;-
2025;4. Quartal;12;VG Verbrauchsgüter;-;-;-;-;-;-
2025;4. Quartal;12;Verarbeitendes Gewerbe gesamt;684394;437736;175743;701112;428631;78894
2026;1. Quartal;01;A+EN Vorleistungsgüter und Energie;336905;189623;14720;287728;162070;14917
2026;1. Quartal;01;B Investitionsgüter;196570;148219;27546;159235;84925;18739
2026;1. Quartal;01;GG Gebrauchsgüter;-;-;-;-;-;-
2026;1. Quartal;01;VG Verbrauchsgüter;-;-;-;-;-;-
2026;1. Quartal;01;Verarbeitendes Gewerbe gesamt;568149;366027;62067;483536;273499;54730
2026;1. Quartal;02;A+EN Vorleistungsgüter und Energie;302176;181919;13949;289692;160292;14513
2026;1. Quartal;02;B Investitionsgüter;102847;50553;18365;141754;80312;49481
2026;1. Quartal;02;GG Gebrauchsgüter;-;-;-;-;-;-
2026;1. Quartal;02;VG Verbrauchsgüter;-;-;-;-;-;-
2026;1. Quartal;02;Verarbeitendes Gewerbe gesamt;443682;260182;51560;466674;266578;85331
2026;1. Quartal;03;A+EN Vorleistungsgüter und Energie;382253;227895;19955;356359;191863;19806
2026;1. Quartal;03;B Investitionsgüter;152712;94957;30043;115823;50610;24408
2026;1. Quartal;03;GG Gebrauchsgüter;-;-;-;-;-;-
2026;1. Quartal;03;VG Verbrauchsgüter;-;-;-;-;-;-
2026;1. Quartal;03;Verarbeitendes Gewerbe gesamt;561922;343799;68723;505683;265604;62764
2026;2. Quartal;04;A+EN Vorleistungsgüter und Energie;347403;207582;23026;296501;174124;13502
2026;2. Quartal;04;B Investitionsgüter;159761;104946;22373;183321;114021;41138
2026;2. Quartal;04;GG Gebrauchsgüter;-;-;-;-;-;-
2026;2. Quartal;04;VG Verbrauchsgüter;-;-;-;-;-;-
2026;2. Quartal;04;Verarbeitendes Gewerbe gesamt;542145;334150;64274;518723;316253;76118
2026;2. Quartal;05;A+EN Vorleistungsgüter und Energie;351365;204682;25521;340365;193383;14416
2026;2. Quartal;05;B Investitionsgüter;212725;157464;36991;166619;100105;41889
2026;2. Quartal;05;GG Gebrauchsgüter;-;-;-;-;-;-
2026;2. Quartal;05;VG Verbrauchsgüter;-;-;-;-;-;-
2026;2. Quartal;05;Verarbeitendes Gewerbe gesamt;592786;384196;82044;541416;317140;75603
2026;2. Quartal;06;A+EN Vorleistungsgüter und Energie;460958;248628;49338;447782;255370;48844
2026;2. Quartal;06;B Investitionsgüter;275194;119647;75958;161037;84184;36475
2026;2. Quartal;06;GG Gebrauchsgüter;-;-;-;-;-;-
2026;2. Quartal;06;VG Verbrauchsgüter;-;-;-;-;-;-
2026;2. Quartal;06;Verarbeitendes Gewerbe gesamt;774445;394471;146305;643294;366472;107061
